이름,대표,소재지,번호
골드힐스공인중개사사무소,김동숙,"서울특별시 서초구 우면동 773 , 104호(우면동, 서초힐스)",02-575-8280/010-6366-3943
금강부동산공인중개사사무소,최달현,서울특별시 서초구 우면동 788,02-573-2003/010-4275-4187
금강부동산공인중개사사무소,권철수,서울특별시 서초구 우면동 735 서초네이처힐7단지 상가동 102호,02-572-5200
서초정부동산공인중개사사무소,김병주,서울특별시 서초구 우면동 712 서초네이처힐2단지 상가동 101호,02-578-8661/010-7963-0690
SH우면공인중개사사무소,곽재운,서울특별시 서초구 우면동 720 서초네이처힐4단지상가 102호,02-577-5770
황금공인중개사사무소,김성훈,서울특별시 서초구 우면동 720 서초네이처힐4단지 상가 103호,02-574-7999/010-4330-5355
황금공인중개사사무소,권세연,서울특별시 서초구 우면동 721-1,02-572-7900/010-7550-4471
조은부동산공인중개사무소,서재원,서울특별시 서초구 우면동 717 서초네이처힐3단지 상가-101,02-573-0700/010-9126-6010
우면산공인중개사사무소,김경숙,서울시 서초구 우면동 59 107호 동고아파트상가,02-573-2244
서초공인중개사사무소,박상수,서울 서초구 우면동 59 동고아파트 상가-101,02-578-2022/010-2900-2023
제일공인중개사사무소,박동혁,서울특별시 서초구 우면동 67 한라상가 107호,02-577-7252/010-8587-7007
럭키공인중개사,문승섭,서울 서초구 우면동 59 동고아파트 상가 103호,02-573-3500/010-3289-3500
엘지공인중개사사무소,한들,서울시 서초구 우면동 67 우면한라아파트 단지내상가 103호,02-578-3456/010-2573-4321
현대공인중개사,김동휘,서울 서초구 우면동 한라아파트 상가 102호,02-573-0001/010-8635-3604
대림공인중개사사무소,김영분,서울특별시 서초구 우면동 66-2번지 우면종합상가 113호,02-576-0004/010-6326-5510
우면공인중개사사무소,장정선,서울시 서초구 우면동 67 한라아파트 상가동 1층 101호,02-576-6900
우면공인중개사사무소,장정선,서울시 서초구 우면동 67 한라아파트 상가동 1층 101호,02-576-6900
코오롱공인중개사사무소,김창경,서울 서초구 우면동 70 코오롱상가103,02-571-7008/010-6292-9784
연세공인중개사,염시춘,서울특별시 서초구 서초동 1487-125,02-3471-4700/010-9075-8007
명문공인중개사사무소,유혜옥,서울시 서초구 방배동 1002-2 102호,02-581-4700/010-6264-1011
일번지공인중개사사무소,김성구,"서울시 서초구 명달로 32,1층 (서초동)",02-581-4900/010-9165-8485
FN스마트부동산공인중개사사무소,유정희,서울특별시 서초구 서초동 1490-4,02-582-8942/010-4330-0200
티드부동산공인중개사사무소,이경란,서울특별시 서초구 서초동 1485-3 2층,02-585-6267/010-9175-6267
대영공인중개사무소,윤수성,서울 서초구 서초3동 1532-7 1층9호,02-588-4310/010-3785-5481
마니공인중개사사무소,박재윤,서울시 서초구 서초동 1481-1 1층 101호,02-518-3077/010-4965-4545
행운부동산공인중개사사무소,허태욱,서울시 서초구 서초동 1482-10,02-588-8871
명가공인중개사사무소,강우영,서울시 서초구 서초동 1484-1 1층,02-598-8228
통통통공인중개사사무소,방미숙,서울시 서초구 서초동 1480-13 1층,02-522-0018/010-5513-3032
양지공인중개사사무소,안영미,서울 서초구 서초동 1480-1번지 1층,02-581-3737/010-3277-9351
황금공인중개사사무소,이영인,서울 서초구 서초동 1487-56,02-583-2001/010-7102-0049
명성공인중개사사무소,안정숙,서울특별시 서초구 서초1동 1487-61 1층,02-598-8998/010-5241-2905
어울림공인중개사,민동엽,서울 서초구 서초3동 1460-16 1층,02-586-4200/010-2271-4930
우림공인중개사사무소,정환,서울시 서초구 서초동 1451-31 1층 우림공인중개사사무소,02-584-0822
서초대우공인중개사사무소,이대우,서울시 서초구 서초동 1458-6 107호,02-523-0003/010-9989-7682
토마토공인중개사사무소,김양표,서울 서초구 서초동 1458-6 서초지웰상가 110호,02-597-1800/010-3308-2001
강화공인중개사사무소,정홍기,서울특별시 서초구 서초3동 1451-16 102호,02-584-1845/010-4324-7582
타워공인중개사사무소,손중선,서울시 서초구 서초동 1459-7,02-586-0427
까치공인중개사사무소,김숙영,서울시 서초구 서초동 1446-11 현대슈퍼빌 상가 105-1호,02-522-2333/010-9294-9096
원공인중개사사무소,조영경,서울 서초구 서초동 1445-13,02-522-8989/010-3784-3616
플래티넘부동산중개,최영재,서울특별시 서초구 서초동 1445-13 서초쌍용플래티넘 108호,02-585-0602/010-3935-0602
슈퍼빌야후부동산중개주식회사,박석창,서울특별시 서초구 서초동 1446-11 현대슈퍼빌 상가동 1층 105호,02-588-0088/010-2828-2803
현대슈퍼빌공인중개사사무소,김기석,서울 서초구 서초동 1446-11 현대슈퍼빌상가103호 현대슈퍼빌부동산,02-584-4400/010-8364-3000
태평양공인중개사사무소,박영식,서울시 서초구 서초동 1429-8 원일빌딩 3층(304호),02-586-7770/010-4901-7200
반갑부동산중개,이호석,서울시 서초구 서초동 1429-8 201호[229호],010-3076-6090/010-3076-6090
롯데공인중개사사무소,유홍기,서울특별시 서초구 서초동 1516-1 1층 103호,02-525-1144/010-8249-8259
서초서리풀공인중개사사무소,구창모,"서울특별시 서초구 서초동 1498-5 마제스타시티, 힐스테이트 서리풀 B102호",02-581-3800/010-8672-7710
한국부동산중개법인주식회사,홍성욱,서울시 서초구 서초동 1545-9 신원빌딩 301호,02-588-9482
뉴리더스공인중개사사무소,박영라,서울시 서초구 서초동 1545-9 신원빌딩 3층 301호,
신일공인중개사,양희선,서울 서초구 서초3동 1510-1 선업빌딩,02-583-8311/010-2722-3344
한빛삼성공인중개사,김중덕,서울 서초구 서초동 1509-1,02-583-9018/010-3897-5383
대림공인중개사사무소,백기만,서울시 서초구 서초동 1537-3 1층,02-588-1115/010-8025-5959
강남공인중개사사무소주식회사,박미영,서울시 서초구 서초동 1523-6 1층,02-583-8245
서진공인중개사사무소,서민숙,서울특별시 서초구 서초동 1582-3 서초센트럴IPARK 상가 101호,02-581-8949/010-9869-0872
삼성MK공인중개사사무소,김세진,서울특별시 서초구 서초1동 1545-8,02-522-5217
월드부동산중개인사무소,황완근,서울 서초구 서초동 1510-10 성은빌딩 101호,02-583-3222/010-2204-1510
서초스타일부동산중개,이동희,"서울특별시 서초구 서초동 1512-5, 1층",02-3471-7644/010-3598-3158
The301공인중개사사무소,주승호,서울시 서초구 서초동 1530-9 서초빌 102호,02-3471-7002
한국부동산중개연구소,조인환,서울시 서초구 서초동 1545-16 3층,02-1544-8945/010-7152-5106
그린공인중개사사무소,구제현,서울특별시 서초구 서초동 1538-1 106호,02-582-1144/010-7362-1036
그린공인중개사사무소,구제현,서울특별시 서초구 서초동 1538-1 106호,02-582-1144/010-7362-1036
황금공인중개사사무소,김갑석,서울시 서초구 서초동 1624-1 4층 400호,02-588-5585/010-2314-9457
세종부동산,이흥종,서울 서초구 서초3동 1599-2 상가107호,02-588-5585/010-2314-9457
대경공인중개사사무소,권용재,서울특별시 서초구 서초동 1589-8 현대오피스텔 209호,02-521-8244/010-8939-6549
대경공인중개사사무소,권용재,서울특별시 서초구 서초동 1589-8 현대오피스텔 209호,02-521-8244/010-8939-6549
대경공인중개사사무소,권용재,서울특별시 서초구 서초동 1589-8 현대오피스텔 209호,02-521-8244/010-8939-6549
센트럴파크공인중개사사무소,문용홍,서울특별시 서초구 서초동 1580-6,02-583-5711/010-5376-9157
주식회사중앙에셋부동산중개법인,문용홍,서울특별시 서초구 서초동 1580-6,02-583-5711/010-5376-9157
신세계부동산중개,임영숙,서울시 서초구 서초동 1579-7 궁본빌딩 1층 109호,02-584-5634
박소영공인중개사사무소,박소영,서울특별시 서초구 서초동 1624-1 4층,010-6832-9499
박소영공인중개사사무소,박소영,서울특별시 서초구 서초동 1624-1 4층,010-6832-9499
하이앤드공인중개사사무소,윤춘계,서울시 서초구 서초동 1589-12 1층,02-522-9552/010-3179-8588
하이앤드공인중개사사무소,윤춘계,서울시 서초구 서초동 1589-12 1층,02-522-9552/010-3179-8588
하이앤드공인중개사사무소,윤춘계,서울시 서초구 서초동 1589-12 1층,02-522-9552/010-3179-8588
라온공인중개사사무소,안중보,서울시 서초구 서초동 1595-1 지젤시그니티 110호,02-597-5055/010-7762-6170
누리부동산중개사무소,이정민,서울특별시 서초구 서초동 1579-5 101호,010-2273-5088
서초글로리공인중개사사무소,이승준,서울특별시 서초구 서초동 1582-3 서초센트럴IPARK 판매시설(상가) 110호,02-598-3690/010-7658-9936
서초진실부동산중개,백진순,서울시 서초구 서초동 1595-2 샌츄리2오피스텔 609호,010-8720-9090
리슈빌공인중개사사무소,윤경화,서울시 서초구 서초동 1589-10 105호,02-583-5560
세종법률공인중개사사무소,배영식,서울특별시 서초구 서초동 1624-1 4층 400호,02-6953-1717/010-8354-8000
이오빌공인중개사사무소,김대희,서울시 서초구 서초동 1593-7,02-586-2524
이오빌공인중개사사무소,장선우,서울시 서초구 서초동 1597-2 101호,02-523-3461/010-6545-3461
센트럴일등부동산공인중개사사무소,박주원,서울시 서초구 서초동 1582-3 서초센트럴IPARK판매시설(상가) 104호,02-582-7900
주식회사보석부동산중개법인,서보화,서울특별시 서초구 서초동 1583-10 서초아트자이판매시설및운동시설동 125호,02-585-0737/010-3628-0737
가치중심부동산중개사무소,홍성용,서울특별시 서초구 서초동 1593-7 서초이오빌 239호,02-523-6878
신성공인중개사사무소,이상락,서울특별시 서초구 서초동 1588-1 신성오피스텔 1층 101호,02-597-1215/010-3752-7170
큐브공인중개사사무소,김영곤,서울시 서초구 서초동 1598-1 큐브플러스 302호,02-522-0161
아이파크정문공인중개사사무소,이수민,서울특별시 서초구 서초동 1582-3 서초센트럴IPARK 상가동 107호,02-536-9111
단지내아이파크공인중개사사무소,경정미,서울특별시 서초구 서초동 1582-3 서초센트럴IPARK 110호,02-586-0042/010-7188-4011
서초센트럴공인중개사사무소,최양례,서울특별시 서초구 서초동 1593-7 서초 이오빌 101호,02-3473-2549/010-7371-8531
신공인중개사사무소,신순단,서울시 서초구 서초동 1601-6 101호,02-525-4320/010-2377-3404
황제공인중개사사무소,심지영,서울특별시 서초구 서초1동 1599-2 LG서초에클라트 112호,02-585-5885
센트럴아이파크디올공인중개사사무소,송정윤,서울시 서초구 서초동 1582-3 상가동 109호,02-521-0177/010-9690-8555
서초대박공인중개사사무소,박정숙,서울특별시 서초구 서초동 1624-1 4층 400호,010-7191-0428/010-7191-0428
서초대박공인중개사사무소,박정숙,서울시 서초구 서초동 1588-7 석탑오피스텔 104호,02-588-3346/010-8009-6864
석탑부동산공인중개사사무소,김상균,서울 서초구 서초1동 1600-4 신성미소시티 101호,02-585-4999/010-9039-2555
그린공인중개사사무소,정은성,"서울 서초구 서초동 효령로55길 22, 103호(서초동,그린빌오피스텔)",02-3473-8924/010-8864-2732
리더스공인중개사사무소,홍승진,서울시 서초구 서초동 1588-8 지상1층 101호,02-3461-4963/010-9270-8741
한도공인중개사사무소,유진오,서울특별시 서초구 서초3동 1598-3 르네상스 오피스텔 지하1층 3호,02-587-6500
원스톱부동산중개사무소,김우중,서울특별시 서초구 서초동 1589-7 현대전원오피스텔 701호,02-522-8309/010-8917-8309
서초빅토리공인중개사무소,조돈후,서울특별시 서초구 서초동 1593-7 서초이오빌 101호,02-6012-6639
법전공인중개사사무소,김성한,서울 서초구 서초3동 1542-1 동일하이빌 401호,02-582-8500/010-4277-5926
서초리더스공인중개사사무소,김도윤,서울시 서초구 서초동 1552-19 1층,02-522-5043/010-5154-5043
행운부동산중개사무소,김혜경,서울시 서초구 서초동 1556-9 103호,02-525-2770/010-3336-2411
현대ESAⅡ공인중개사,이현주,서울특별시 서초구 서초대로 240 1층 113호 (서초동 동일하이빌),02-597-5678/010-2806-7168
대청부동산중개법인유한회사,홍준성,서울시 서초구 서초동 1555-6 3층,02-582-1253
주식회사가인부동산중개법인,김성원,서울시 서초구 서초동 1553-14 1층,02-525-2774
로지스공인중개사사무소,이광호,서울특별시 서초구 서초3동 1552-16 서림빌딩 502호,017-255-6006
주식회사부동산중개법인화랑,정도식,서울시 서초구 서초동 1543-8 201호,02-6409-7011
푸른솔 공인중개사사무소,박종식,서울 서초구 서초3동 1550-2 진우빌딩 1층,02-3473-5544/010-3679-9639
서보부동산중개사무소,김대연,서울특별시 서초구 서초3동 1543-6번지 1층,02-585-3344/010-8790-1889
태일부동산공인중개사사무소,노유진,서울특별시 서초구 서초동 1553-1 1층,02-585-4181/010-2123-4181
청년부동산중개,구미정,서울특별시 서초구 서초동 1502-12 서초꽃마을 주얼리 106호 우측,02-522-4493/010-2598-4493
골든힐스공인중개사사무소,김복자,서울특별시 서초구 서초동 1502-1 1층,02-587-9988/010-6249-2935
코라부동산공인중개사사무소,이선,서울특별시 서초구 서초동 1542-1 서초동 동일하이빌 108호,02-581-0234/010-3347-5278
광명부동산중개인사무소,김영웅,서울특별시 서초구 서초동 1547-6 1층,02-585-4333
웰스공인중개사사무소,설진웅,서울시 서초구 서초동 1561-1 201호,02-588-0799/010-6564-6786
